Income_Category,Card_Category,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Transaction_Amount_Change_Q4_Q1,Transaction_Count_Change_Q4_Q1,Avg_Utilization_Ratio,Customer_Tenure_Years,Average_Transaction_Value,Available_Credit_Ratio,Revolving_Balance_Ratio,Contact_Frequency,Inactivity_Ratio,Actual_Churn,Predicted_Churn,Churn_Probability,Churn_Probability_%,Predicted_Status,High_Risk,Risk_Category,High_Value,High_Value_At_Risk
0,0,0,0,0,0,1,0,0,1,0,65,1,0,56,4,1.035,0.591,0.643,4.666666667,46.42857143,0.357408555,0.642591445,0.166666667,0.166666667,0,0,0.036271309,3.63,Retained,0,Lower Risk,0,0
0,1,0,1,0,0,0,0,0,1,0,41,0,3,30,2,0.908,0.721,0,2.5,138.2,1,0,0.083333333,0.083333333,0,0,0.051214391,5.12,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,1,0,0,31,0,0,21,5,1.369,0.613,0,1.75,61.18,1,0,0.166666667,0.166666667,0,0,0.132853549,13.29,Retained,0,Lower Risk,0,0
1,0,0,0,0,0,0,1,1,0,0,51,0,1,36,2,0.747,1.077,0.325,3,54.62962963,0.674615866,0.325384134,0.083333333,0.083333333,0,0,0.002714605,0.27,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,51,0,3,41,6,0.767,0.738,0.756,3.416666667,67.49315068,0.244239631,0.755760369,0.25,0.166666667,0,0,0.02197741,2.2,Retained,0,Lower Risk,0,0
1,1,0,0,1,0,0,0,0,0,0,45,0,3,36,2,0.675,0.623,0.102,3,83.12790698,0.898388889,0.101611111,0.166666667,0.166666667,0,0,0.015994282,1.6,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,1,0,0,39,0,1,36,1,0.821,0.822,0.421,3,59.2804878,0.579062159,0.420937841,0.166666667,0.25,0,0,0.061402794,6.14,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,0,1,49,0,3,39,4,0.65,0.705,0.224,3.25,47.97333333,0.776486671,0.223513329,0,0.166666667,0,0,0.00936151,0.94,Retained,0,Lower Risk,0,0
4,0,0,1,0,0,0,0,0,1,0,58,1,4,52,6,0.567,0.364,0,4.333333333,45.6,1,0,0,0.083333333,0,0,0.020504683,2.05,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,0,1,0,63,0,0,56,2,0.814,0.816,0.117,4.666666667,51.11594203,0.882846916,0.117153084,0.166666667,0.166666667,0,0,0.062452725,6.25,Retained,0,Lower Risk,0,0
1,0,0,1,0,0,0,0,1,0,0,49,1,1,40,6,0.895,0.439,0,3.333333333,76.55932203,1,0,0.333333333,0.083333333,1,1,0.67653868,67.65,Churn,1,High Risk,0,0
3,0,0,0,0,0,1,0,0,1,0,60,1,1,51,6,0.985,0.625,0.095,4.25,47.73846154,0.905254837,0.094745163,0.333333333,0.25,0,0,0.047837362,4.78,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,61,1,1,54,1,0.801,0.7,0.231,4.5,82.74509804,0.768798236,0.231201764,0.25,0.083333333,0,0,0.017220147,1.72,Retained,0,Lower Risk,0,0
3,0,0,0,0,0,0,1,0,1,0,48,1,3,36,3,0.716,0.612,0.811,3,53.41772152,0.188720973,0.811279027,0.166666667,0.333333333,0,0,0.064562684,6.46,Retained,0,Lower Risk,0,0
2,0,1,0,0,0,0,0,1,0,0,55,1,2,36,5,0.791,0.721,0,3,58.45945946,1,0,0.083333333,0.083333333,0,0,0.007963397,0.8,Retained,0,Lower Risk,0,0
