Churn,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Transaction_Amount_Change_Q4_Q1,Transaction_Count_Change_Q4_Q1,Avg_Utilization_Ratio,Customer_Tenure_Years,Average_Transaction_Value,Available_Credit_Ratio,Revolving_Balance_Ratio,Contact_Frequency,Inactivity_Ratio
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1.335,1.625,0.061,3.25,27.238095238095237,0.9387755102040817,0.061224489795918366,0.25,0.08333333333333333
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1.541,3.714,0.105,3.6666666666666665,39.121212121212125,0.8953488372093024,0.10465116279069768,0.16666666666666666,0.08333333333333333
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,2.594,2.333,0.0,3.0,94.35,1.0,0.0,0.0,0.08333333333333333
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,1.405,2.333,0.76,2.8333333333333335,58.55,0.24026562028373075,0.7597343797162692,0.08333333333333333,0.3333333333333333
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,2.175,2.5,0.0,1.75,29.142857142857142,1.0,0.0,0.0,0.08333333333333333
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1.376,0.846,0.311,3.0,45.333333333333336,0.6890274314214464,0.3109725685785536,0.16666666666666666,0.08333333333333333
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1.975,0.722,0.066,3.8333333333333335,42.903225806451616,0.9344072314289026,0.06559276857109746,0.25,0.08333333333333333
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2.204,0.7140000000000001,0.048,2.25,42.72222222222222,0.9519961486881469,0.0480038513118531,0.16666666666666666,0.16666666666666666
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,3.355,1.182,0.113,3.0,56.25,0.8873926270579814,0.11260737294201861,0.0,0.16666666666666666
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,1.524,0.882,0.144,3.0,45.03125,0.8561256005490734,0.14387439945092656,0.25,0.25
