Income_Category,Card_Category,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Churn,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Transaction_Amount_Change_Q4_Q1,Transaction_Count_Change_Q4_Q1,Avg_Utilization_Ratio,Customer_Tenure_Years,Average_Transaction_Value,Available_Credit_Ratio,Revolving_Balance_Ratio,Contact_Frequency,Inactivity_Ratio
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,3.0,39.0,5.0,1.335,1.625,0.061,3.25,27.23809523809524,0.9387755102040816,0.0612244897959183,0.25,0.0833333333333333
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,0.0,5.0,44.0,6.0,1.541,3.714,0.105,3.6666666666666665,39.121212121212125,0.8953488372093024,0.1046511627906976,0.1666666666666666,0.0833333333333333
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,1.0,3.0,36.0,4.0,2.594,2.333,0.0,3.0,94.35,1.0,0.0,0.0,0.0833333333333333
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,4.0,34.0,3.0,1.405,2.333,0.76,2.833333333333333,58.55,0.2402656202837307,0.7597343797162692,0.0833333333333333,0.3333333333333333
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,1.0,3.0,21.0,5.0,2.175,2.5,0.0,1.75,29.142857142857142,1.0,0.0,0.0,0.0833333333333333
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,2.0,36.0,3.0,1.376,0.846,0.311,3.0,45.333333333333336,0.6890274314214464,0.3109725685785536,0.1666666666666666,0.0833333333333333
4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,51.0,1.0,4.0,46.0,6.0,1.975,0.722,0.066,3.8333333333333335,42.903225806451616,0.9344072314289026,0.0655927685710974,0.25,0.0833333333333333
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,1.0,0.0,27.0,2.0,2.204,0.7140000000000001,0.048,2.25,42.72222222222222,0.9519961486881467,0.0480038513118531,0.1666666666666666,0.1666666666666666
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,1.0,3.0,36.0,5.0,3.355,1.182,0.113,3.0,56.25,0.8873926270579814,0.1126073729420186,0.0,0.1666666666666666
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,1.0,2.0,36.0,6.0,1.524,0.882,0.144,3.0,45.03125,0.8561256005490734,0.1438743994509265,0.25,0.25
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,1.0,5.0,31.0,5.0,0.831,0.68,0.217,2.583333333333333,28.59523809523809,0.782602252519265,0.217397747480735,0.1666666666666666,0.25
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,65.0,1.0,1.0,54.0,6.0,1.433,1.364,0.174,4.5,50.53846153846154,0.8255085211654756,0.1744914788345244,0.25,0.1666666666666666
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,1.0,1.0,36.0,3.0,3.397,3.25,0.0,3.0,90.52941176470588,1.0,0.0,0.0,0.5
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,1.0,3.0,30.0,5.0,1.163,2.0,0.195,2.5,39.72727272727273,0.8050778050778051,0.1949221949221949,0.25,0.0833333333333333
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,2.0,48.0,5.0,1.19,0.611,0.2789999999999999,4.0,54.13793103448276,0.7208538587848933,0.2791461412151067,0.1666666666666666,0.1666666666666666
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,44.0,1.0,4.0,37.0,5.0,1.707,1.7,0.23,3.083333333333333,49.92592592592592,0.7704298535663675,0.2295701464336325,0.1666666666666666,0.0833333333333333
3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,1.0,4.0,36.0,6.0,1.7080000000000002,0.929,0.078,3.0,61.888888888888886,0.9222181973853196,0.0777818026146804,0.25,0.1666666666666666
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41.0,1.0,3.0,34.0,4.0,0.653,1.625,0.095,2.833333333333333,48.95238095238095,0.904617657923901,0.095382342076099,0.0833333333333333,0.3333333333333333
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,1.0,1.0,56.0,2.0,1.831,1.143,0.7879999999999999,4.666666666666667,44.53333333333333,0.2117131224553711,0.7882868775446289,0.25,0.1666666666666666
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,2.0,37.0,6.0,0.966,0.909,0.08,3.083333333333333,57.47619047619048,0.9200414651002072,0.0799585348997926,0.1666666666666666,0.0833333333333333
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,1.0,42.0,5.0,0.906,0.929,0.086,3.5,43.629629629629626,0.9141999141999142,0.0858000858000858,0.0,0.1666666666666666
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,62.0,0.0,0.0,49.0,2.0,1.047,0.6,0.0,4.083333333333333,43.25,1.0,0.0,0.25,0.25
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,1.0,3.0,33.0,4.0,1.608,1.571,0.152,2.75,51.72222222222222,0.8478747203579419,0.1521252796420581,0.0833333333333333,0.1666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,47.0,0.0,4.0,36.0,3.0,0.573,0.353,0.626,3.0,48.95652173913044,0.3739967897271268,0.6260032102728732,0.1666666666666666,0.25
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,54.0,1.0,2.0,42.0,4.0,1.075,0.75,0.0,3.5,52.85714285714285,1.0,0.0,0.25,0.1666666666666666
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,3.0,28.0,6.0,0.797,0.833,0.215,2.333333333333333,47.77272727272727,0.7851441812564367,0.2148558187435633,0.1666666666666666,0.0833333333333333
